,DoByDidandDo,NobyTten,NobyNotando,ThebyToandThe,UponbyOnandUpon
CymbelineACTIII,0.6521739130434783,0.036935704514363885,0.34177215189873417,0.5786516853932584,0.3076923076923077
CymbelineACTIV,0.5294117647058824,0.04488330341113106,0.2976190476190476,0.6309963099630996,0.34782608695652173
CymbelineACTV,0.5,0.029339853300733496,0.3333333333333333,0.6019184652278178,0.4222222222222222
KingLearACTI,0.7777777777777778,0.0343878954607978,0.27472527472527475,0.5552407932011332,0.16666666666666666
KingLearACTII,0.7692307692307693,0.040998217468805706,0.2875,0.6120996441281139,0.41379310344827586
KingLearACTIII,0.8947368421052632,0.048417132216014895,0.4642857142857143,0.6422018348623854,0.4230769230769231
KingLearACTIV,0.8974358974358975,0.03885135135135135,0.27710843373493976,0.6624203821656051,0.37037037037037035
KingLearACTV,0.75,0.01928374655647383,0.1891891891891892,0.6524064171122995,0.4166666666666667
LovesLaboursLostACTI,0.7222222222222222,0.02391304347826087,0.3055555555555556,0.5857740585774058,0.5
LovesLaboursLostACTII,0.5,0.024390243902439025,0.21428571428571427,0.4954954954954955,0.0
LovesLaboursLostACTIII,0.875,0.06097560975609756,0.7142857142857143,0.7125,0.4
LovesLaboursLostACTIV,0.5142857142857142,0.02425876010781671,0.24324324324324326,0.6930946291560103,0.2692307692307692
LovesLaboursLostACTV,0.6666666666666666,0.01644398766700925,0.14953271028037382,0.6782786885245902,0.16279069767441862
MeasureforMeasureACTI,0.9583333333333334,0.014492753623188406,0.15384615384615385,0.587378640776699,0.3888888888888889
MeasureforMeasureACTII,0.8222222222222222,0.026986506746626688,0.2222222222222222,0.5224358974358975,0.48
MeasureforMeasureACTIII,0.8947368421052632,0.032667876588021776,0.375,0.5608108108108109,0.2631578947368421
MeasureforMeasureACTIV,0.8695652173913043,0.023575638506876228,0.22641509433962265,0.5746268656716418,0.5416666666666666
MeasureforMeasureACTV,0.6216216216216216,0.03361344537815126,0.2909090909090909,0.5026737967914439,0.4444444444444444
MuchAdoAboutNothingACTI,0.9090909090909091,0.03783783783783784,0.3333333333333333,0.6047904191616766,0.25
MuchAdoAboutNothingACTII,0.7241379310344828,0.04862236628849271,0.35714285714285715,0.6099290780141844,0.26666666666666666
MuchAdoAboutNothingACTIII,0.5882352941176471,0.038314176245210725,0.29411764705882354,0.6103896103896104,0.375
MuchAdoAboutNothingACTIV,0.7619047619047619,0.01977401129943503,0.125,0.528,0.4375
MuchAdoAboutNothingACTV,0.7209302325581395,0.0367965367965368,0.30357142857142855,0.5129533678756477,0.5217391304347826
OthellotheMooreofVeniceACTI,0.7592592592592593,0.018518518518518517,0.21052631578947367,0.5609756097560976,0.35294117647058826
OthellotheMooreofVeniceACTII,0.85,0.01447178002894356,0.1694915254237288,0.6088154269972452,0.3125
OthellotheMooreofVeniceACTIII,0.8448275862068966,0.028963414634146343,0.18095238095238095,0.47985347985347987,0.36
OthellotheMooreofVeniceACTIV,0.7846153846153846,0.02434077079107505,0.15584415584415584,0.587378640776699,0.34615384615384615
OthellotheMooreofVeniceACTV,0.5714285714285714,0.03713527851458886,0.2978723404255319,0.6265822784810127,0.4230769230769231
PericlesPrinceofTyreACTI,0.7727272727272727,0.02286902286902287,0.2682926829268293,0.4785992217898833,0.35714285714285715
PericlesPrinceofTyreACTII,0.7272727272727273,0.017509727626459144,0.21428571428571427,0.5270758122743683,0.4375
PericlesPrinceofTyreACTIII,0.5555555555555556,0.0176678445229682,0.2777777777777778,0.7044025157232704,0.5789473684210527
PericlesPrinceofTyreACTIV,0.7441860465116279,0.02707581227436823,0.26785714285714285,0.5805243445692884,0.5217391304347826
PericlesPrinceofTyreACTV,0.4230769230769231,0.038461538461538464,0.41379310344827586,0.5588235294117647,0.35714285714285715
RomeoandJulietACTI,0.8076923076923077,0.02086677367576244,0.23636363636363636,0.6459016393442623,0.3181818181818182
RomeoandJulietACTII,0.6086956521739131,0.02106969205834684,0.19696969696969696,0.5468164794007491,0.35714285714285715
RomeoandJulietACTIII,0.7037037037037037,0.043785310734463276,0.3333333333333333,0.5354609929078015,0.3333333333333333
RomeoandJulietACTIV,0.8666666666666667,0.037900874635568516,0.3023255813953488,0.5189873417721519,0.3333333333333333
RomeoandJulietACTV,0.5384615384615384,0.026455026455026454,0.2702702702702703,0.5737704918032787,0.5263157894736842
TheComedyofErrorsACTI,0.3333333333333333,0.020905923344947737,0.2,0.5632911392405063,0.75
TheComedyofErrorsACTII,0.6923076923076923,0.04861111111111111,0.4,0.5225225225225225,0.4
TheComedyofErrorsACTIII,0.8,0.030508474576271188,0.3103448275862069,0.5846153846153846,0.5454545454545454
TheComedyofErrorsACTIV,0.41379310344827586,0.014218009478672985,0.15789473684210525,0.5882352941176471,0.23076923076923078
TheComedyofErrorsACTV,0.24,0.005305039787798408,0.05263157894736842,0.5748502994011976,0.2
TheFirstpartofKingHenrytheFourthACTI,0.3939393939393939,0.02891156462585034,0.3541666666666667,0.6541095890410958,0.40625
TheFirstpartofKingHenrytheFourthACTII,0.7931034482758621,0.02553191489361702,0.19148936170212766,0.6656441717791411,0.5581395348837209
TheFirstpartofKingHenrytheFourthACTIII,0.75,0.03461538461538462,0.3,0.6564885496183206,0.1935483870967742
TheFirstpartofKingHenrytheFourthACTIV,0.5384615384615384,0.033426183844011144,0.2857142857142857,0.6649746192893401,0.2857142857142857
TheFirstpartofKingHenrytheFourthACTV,0.4186046511627907,0.027253668763102725,0.23214285714285715,0.6565217391304348,0.3888888888888889
TheFirstpartofKingHenrytheSixthACTI,0.6111111111111112,0.02181818181818182,0.24,0.6258064516129033,0.23333333333333334
TheFirstpartofKingHenrytheSixthACTII,0.6,0.03896103896103896,0.36,0.6388888888888888,0.3157894736842105
TheFirstpartofKingHenrytheSixthACTIII,0.9333333333333333,0.02727272727272727,0.2926829268292683,0.6231155778894473,0.23076923076923078
TheFirstpartofKingHenrytheSixthACTIV,0.375,0.035269709543568464,0.40476190476190477,0.6206896551724138,0.38461538461538464
TheFirstpartofKingHenrytheSixthACTV,0.7333333333333333,0.027944111776447105,0.27450980392156865,0.502127659574468,0.47368421052631576
TheLifeandDeathofJuliusCaesarACTI,0.574468085106383,0.027722772277227723,0.2692307692307692,0.6090534979423868,0.5483870967741935
TheLifeandDeathofJuliusCaesarACTII,0.5666666666666667,0.03102189781021898,0.2236842105263158,0.5692307692307692,0.5
TheLifeandDeathofJuliusCaesarACTIII,0.7142857142857143,0.03669724770642202,0.3076923076923077,0.6216216216216216,0.3333333333333333
TheLifeandDeathofJuliusCaesarACTIV,0.717948717948718,0.038834951456310676,0.26666666666666666,0.512396694214876,0.38095238095238093
TheLifeandDeathofJuliusCaesarACTV,0.5161290322580645,0.026845637583892617,0.21052631578947367,0.6408450704225352,0.2222222222222222
TheLifeandDeathofKingJohnACTI,0.45454545454545453,0.0211864406779661,0.17857142857142858,0.5648148148148148,0.36363636363636365
TheLifeandDeathofKingJohnACTII,0.7916666666666666,0.014492753623188406,0.25,0.5629370629370629,0.4864864864864865
TheLifeandDeathofKingJohnACTIII,0.8636363636363636,0.03198653198653199,0.25,0.5393700787401575,0.358974358974359
TheLifeandDeathofKingJohnACTIV,0.7948717948717948,0.026217228464419477,0.2641509433962264,0.6278195488721805,0.3125
TheLifeandDeathofKingJohnACTV,0.6071428571428571,0.0057361376673040155,0.09375,0.6405228758169934,0.4411764705882353
TheLifeandDeathofRichardtheSecondACTI,0.5909090909090909,0.029654036243822075,0.32727272727272727,0.51875,0.3142857142857143
TheLifeandDeathofRichardtheSecondACTII,0.75,0.025437201907790145,0.23529411764705882,0.5476190476190477,0.3333333333333333
TheLifeandDeathofRichardtheSecondACTIII,0.7777777777777778,0.027777777777777776,0.3488372093023256,0.6197183098591549,0.4482758620689655
TheLifeandDeathofRichardtheSecondACTIV,0.6470588235294118,0.040498442367601244,0.40625,0.5403726708074534,0.375
TheLifeandDeathofRichardtheSecondACTV,0.6875,0.03300970873786408,0.2833333333333333,0.6260162601626016,0.3
TheLifeandDeathofRichardtheThirdACTI,0.6938775510204082,0.02835538752362949,0.29411764705882354,0.5268817204301075,0.375
TheLifeandDeathofRichardtheThirdACTII,0.5,0.02056555269922879,0.21052631578947367,0.5792349726775956,0.2222222222222222
TheLifeandDeathofRichardtheThirdACTIII,0.5925925925925926,0.033169533169533166,0.313953488372093,0.5878220140515222,0.34210526315789475
TheLifeandDeathofRichardtheThirdACTIV,0.7083333333333334,0.017789072426937738,0.20588235294117646,0.5463659147869674,0.19444444444444445
TheLifeandDeathofRichardtheThirdACTV,0.8333333333333334,0.0171990171990172,0.25925925925925924,0.6747967479674797,0.34782608695652173
TheLifeofKingHenrytheEighthACTI,0.5217391304347826,0.027950310559006212,0.3050847457627119,0.6366197183098592,0.41379310344827586
TheLifeofKingHenrytheEighthACTII,0.6129032258064516,0.0256797583081571,0.2463768115942029,0.5739130434782609,0.37037037037037035
TheLifeofKingHenrytheEighthACTIII,0.47368421052631576,0.03620689655172414,0.4666666666666667,0.6116207951070336,0.5666666666666667
TheLifeofKingHenrytheEighthACTIV,0.75,0.02881844380403458,0.38461538461538464,0.676923076923077,0.17647058823529413
TheLifeofKingHenrytheEighthACTV,0.7368421052631579,0.03214285714285714,0.35294117647058826,0.6114864864864865,0.3684210526315789
TheLifeofKingHenrytheFifthACTI,0.2631578947368421,0.0200445434298441,0.42857142857142855,0.6804511278195489,0.5
TheLifeofKingHenrytheFifthACTII,0.6785714285714286,0.024074074074074074,0.29545454545454547,0.63671875,0.35
TheLifeofKingHenrytheFifthACTIII,0.7037037037037037,0.016105417276720352,0.20754716981132076,0.713903743315508,0.53125
TheLifeofKingHenrytheFifthACTIV,0.7948717948717948,0.022675736961451247,0.24390243902439024,0.7145833333333333,0.55
TheLifeofKingHenrytheFifthACTV,0.8888888888888888,0.02564102564102564,0.2682926829268293,0.5754716981132075,0.4117647058823529
TheMerchantofVeniceACTI,0.76,0.017543859649122806,0.18181818181818182,0.6,0.36
TheMerchantofVeniceACTII,0.8,0.02021772939346812,0.19402985074626866,0.6170886075949367,0.25
TheMerchantofVeniceACTIII,0.6896551724137931,0.03387096774193549,0.328125,0.6732673267326733,0.5
TheMerchantofVeniceACTIV,0.9032258064516129,0.038696537678207736,0.35185185185185186,0.6557971014492754,0.4782608695652174
TheMerchantofVeniceACTV,0.26666666666666666,0.03614457831325301,0.3333333333333333,0.7320261437908496,0.6363636363636364
TheMerryWivesofWindsorACTI,0.7714285714285715,0.0392156862745098,0.2857142857142857,0.6210526315789474,0.5625
TheMerryWivesofWindsorACTII,0.9090909090909091,0.03497942386831276,0.2833333333333333,0.5309734513274337,0.2692307692307692
TheMerryWivesofWindsorACTIII,0.84,0.02564102564102564,0.23076923076923078,0.5454545454545454,0.16666666666666666
TheMerryWivesofWindsorACTIV,0.6666666666666666,0.028199566160520606,0.26,0.6422413793103449,0.26666666666666666
TheMerryWivesofWindsorACTV,0.7692307692307693,0.038910505836575876,0.2857142857142857,0.6666666666666666,0.3333333333333333
TheRapeofLucrece,0.4393939393939394,0.028940568475452195,0.3971631205673759,0.5683530678148547,0.2711864406779661
TheSecondpartofKingHenrytheFourthACTI,0.5,0.014754098360655738,0.15,0.6614906832298136,0.36363636363636365
TheSecondpartofKingHenrytheFourthACTII,0.7435897435897436,0.0460431654676259,0.32989690721649484,0.6242937853107344,0.7096774193548387
TheSecondpartofKingHenrytheFourthACTIII,0.7619047619047619,0.029154518950437316,0.4,0.6825396825396826,0.5833333333333334
TheSecondpartofKingHenrytheFourthACTIV,0.6842105263157895,0.023485784919653894,0.296875,0.6323185011709602,0.41025641025641024
TheSecondpartofKingHenrytheFourthACTV,0.8,0.029411764705882353,0.2978723404255319,0.5738396624472574,0.3333333333333333
TheSecondpartofKingHenrytheSixthACTI,0.5,0.02280130293159609,0.34146341463414637,0.7206703910614525,0.4230769230769231
TheSecondpartofKingHenrytheSixthACTII,0.8333333333333334,0.017897091722595078,0.2,0.5843137254901961,0.25
