date,PRC,RET,RETX
19480719,38.125,-0.043887,-0.043887
19480720,39.375,0.032787,0.032787
19480721,40,0.015873,0.015873
19480722,40,0,0
19480723,40,0,0
19480726,39.625,-0.009375,-0.009375
19480727,40.125,0.012618,0.012618
19480728,39.625,-0.012461,-0.012461
19480729,39.125,-0.012618,-0.012618
19480730,38.25,-0.022364,-0.022364
19480802,38.25,0,0
19480803,38.125,-0.003268,-0.003268
19480804,38.75,0.016393,0.016393
19480805,38.625,-0.003226,-0.003226
19480806,39.125,0.012945,0.012945
19480809,38.875,-0.00639,-0.00639
19480810,37.75,-0.028939,-0.028939
19480811,38,0.006623,0.006623
19480812,38,0,0
19480813,38,0,0
19480816,38.625,0.016447,0.016447
19480817,39.375,0.019417,0.019417
19480818,39.5,0.003175,0.003175
19480819,39.375,-0.003165,-0.003165
19480820,40,0.015873,0.015873
19480823,39.5,-0.0125,-0.0125
19480824,39.5,0,0
19480825,39.125,-0.009494,-0.009494
19480826,39.625,0.01278,0.01278
19480827,39.375,-0.006309,-0.006309
19480830,38.625,-0.019048,-0.019048
19480831,39.5,0.022654,0.022654
19480901,40.125,0.015823,0.015823
19480902,40.5,0.009346,0.009346
19480903,40.625,0.003086,0.003086
19480907,41.375,0.018462,0.018462
19480908,40.25,-0.02719,-0.02719
19480909,39.75,-0.012422,-0.012422
19480910,40.625,0.022013,0.022013
19480913,40,-0.015385,-0.015385
19480914,40.625,0.015625,0.015625
19480915,40.625,0,0
19480916,40.625,0,0
19480917,40.375,-0.006154,-0.006154
19480920,39.125,-0.03096,-0.03096
19480921,40.125,0.025559,0.025559
19480922,39.375,-0.006231,-0.018692
19480923,39.25,-0.003175,-0.003175
19480924,39.25,0,0
19480927,37.875,-0.035032,-0.035032
19480928,38.625,0.019802,0.019802
19480929,39.25,0.016181,0.016181
19480930,39,-0.006369,-0.006369
19481001,39.625,0.016026,0.016026
19481002,39.625,0,0
19481004,40,0.009464,0.009464
19481005,39.75,-0.00625,-0.00625
19481006,39.75,0,0
19481007,39.75,0,0
19481008,39.75,0,0
19481009,40,0.006289,0.006289
19481011,40,0,0
19481013,40.75,0.01875,0.01875
19481014,40.875,0.003067,0.003067
19481015,40.625,-0.006116,-0.006116
19481016,40.5,-0.003077,-0.003077
19481018,40.5,0,0
19481019,40.625,0.003086,0.003086
19481020,41.125,0.012308,0.012308
19481021,40.875,-0.006079,-0.006079
19481022,42,0.027523,0.027523
19481023,42,0,0
19481025,42,0,0
19481026,42.25,0.005952,0.005952
19481027,42.25,0,0
19481028,42,-0.005917,-0.005917
19481029,42.25,0.005952,0.005952
19481030,42.25,0,0
19481101,42.5,0.005917,0.005917
19481103,40,-0.058824,-0.058824
19481104,40.5,0.0125,0.0125
19481105,38.5,-0.049383,-0.049383
19481106,38.5,0,0
19481108,38.75,0.006494,0.006494
19481109,37.625,-0.029032,-0.029032
19481110,37.25,-0.009967,-0.009967
19481112,37.375,0.003356,0.003356
19481113,37.5,0.003344,0.003344
19481115,38,0.013333,0.013333
19481116,37.875,-0.003289,-0.003289
19481117,37.625,-0.006601,-0.006601
19481118,37.75,0.003322,0.003322
19481119,37.875,0.003311,0.003311
19481120,38,0.0033,0.0033
19481122,37.625,-0.009868,-0.009868
19481123,37.5,-0.003322,-0.003322
19481124,36.875,-0.016667,-0.016667
19481126,37,0.00339,0.00339
19481127,37.375,0.010135,0.010135
19481129,37.125,-0.006689,-0.006689
19481130,37.25,0.003367,0.003367
19481201,37.75,0.013423,0.013423
19481202,37.875,0.003311,0.003311
19481203,38.375,0.013201,0.013201
19481204,38.5,0.003257,0.003257
19481206,38.75,0.006494,0.006494
19481207,39,0.006452,0.006452
19481208,38.625,-0.009615,-0.009615
19481209,39,0.009709,0.009709
19481210,39.25,0.00641,0.00641
19481211,39.5,0.006369,0.006369
19481213,39.25,-0.006329,-0.006329
19481214,39.125,-0.003185,-0.003185
19481215,38.75,0.003195,-0.009585
19481216,38.5,-0.006452,-0.006452
19481217,38.875,0.00974,0.00974
19481218,38.75,-0.003215,-0.003215
19481220,39.125,0.009677,0.009677
19481221,39,-0.003195,-0.003195
19481222,39.5,0.012821,0.012821
19481223,39.125,-0.009494,-0.009494
19481224,39.875,0.019169,0.019169
19481227,39.5,-0.009404,-0.009404
19481228,39.375,-0.003165,-0.003165
19481229,39.625,0.006349,0.006349
19481230,39.25,-0.009464,-0.009464
19481231,38.875,-0.009554,-0.009554
19490103,38.375,-0.012862,-0.012862
19490104,38.125,-0.006515,-0.006515
19490105,38.625,0.013115,0.013115
19490106,39.5,0.022654,0.022654
19490107,39.875,0.009494,0.009494
19490108,39.875,0,0
19490110,39.875,0,0
19490111,39.75,-0.003135,-0.003135
19490112,39.375,-0.009434,-0.009434
19490113,39.375,0,0
19490114,38.5,-0.022222,-0.022222
19490115,38.75,0.006494,0.006494
19490117,39.375,0.016129,0.016129
19490118,39,-0.009524,-0.009524
19490119,39.125,0.003205,0.003205
19490120,39.375,0.00639,0.00639
19490121,39.25,-0.003175,-0.003175
19490122,39.125,-0.003185,-0.003185
19490124,39,-0.003195,-0.003195
19490125,38.875,-0.003205,-0.003205
19490126,38.5,-0.009646,-0.009646
19490127,38.75,0.006494,0.006494
19490128,38.5,-0.006452,-0.006452
19490129,38.5,0,0
19490131,38.25,-0.006494,-0.006494
19490201,38.5,0.006536,0.006536
19490202,38.25,-0.006494,-0.006494
19490203,38.5,0.006536,0.006536
19490204,37.75,-0.019481,-0.019481
19490205,37.5,-0.006623,-0.006623
19490207,36.875,-0.016667,-0.016667
19490208,36.5,-0.010169,-0.010169
19490209,36.875,0.010274,0.010274
19490210,36,-0.023729,-0.023729
19490211,36,0,0
19490214,36.125,0.003472,0.003472
19490215,36.375,0.00692,0.00692
19490216,36.375,0,0
19490217,36.75,0.010309,0.010309
19490218,36.625,-0.003401,-0.003401
19490219,36.5,-0.003413,-0.003413
19490221,36.375,-0.003425,-0.003425
19490223,36.25,-0.003436,-0.003436
19490224,35.375,-0.024138,-0.024138
19490225,35.125,-0.007067,-0.007067
19490226,35.5,0.010676,0.010676
19490228,36,0.014085,0.014085
19490301,36.25,0.006944,0.006944
19490302,36.25,0,0
19490303,35.875,-0.010345,-0.010345
19490304,36.25,0.010453,0.010453
19490305,36.875,0.017241,0.017241
19490307,37,0.00339,0.00339
19490308,37,0,0
19490309,37.25,0.006757,0.006757
19490310,37.5,0.006711,0.006711
19490311,38.625,0.03,0.03
19490312,38.5,-0.003236,-0.003236
19490314,38.25,-0.006494,-0.006494
19490315,38,-0.006536,-0.006536
19490316,37.125,-0.009868,-0.023026
19490317,36.75,-0.010101,-0.010101
19490318,37,0.006803,0.006803
19490319,37,0,0
19490321,36.75,-0.006757,-0.006757
19490322,37,0.006803,0.006803
19490323,38.125,0.030405,0.030405
19490324,38,-0.003279,-0.003279
19490325,37.25,-0.019737,-0.019737
19490326,37.25,0,0
19490328,37.625,0.010067,0.010067
19490329,38.625,0.026578,0.026578
19490330,38.375,-0.006472,-0.006472
19490331,37.875,-0.013029,-0.013029
19490401,37.5,-0.009901,-0.009901
19490402,37.5,0,0
19490404,37.125,-0.01,-0.01
19490405,37.25,0.003367,0.003367
19490406,37,-0.006711,-0.006711
19490407,37.5,0.013514,0.013514
19490408,37.625,0.003333,0.003333
19490409,37.625,0,0
19490411,37.375,-0.006645,-0.006645
19490412,37.875,0.013378,0.013378
